"","GEOID","population","female","avg_hhsize","hispanic","black","kids","elderly","education","employed","married","disability","households"
"Block Group 2, Census Tract 5601, Mitchell County, Iowa","19131560100",727,381,2.06,3,3,137,206,117,367,354,104,352.912621359223
"Block Group 2, Census Tract 5602, Mitchell County, Iowa","19131560200",842,380,3.06,8,0,297,166,222,452,489,14,275.16339869281
"Block Group 1, Census Tract 4906, Lee County, Iowa","19111490600",1429,635,2.73,7,7,250,241,261,735,721,112,523.443223443223
"Block Group 3, Census Tract 104.07, Polk County, Iowa","19153010407",597,264,2.84,0,0,111,37,305,406,302,13,210.211267605634
"Block Group 2, Census Tract 104.07, Polk County, Iowa","19153010407",1452,652,2.89,0,52,405,201,710,755,787,85,502.42214532872
"Block Group 3, Census Tract 9508, Cerro Gordo County, Iowa","19033950800",2848,1584,2.29,117,0,511,509,955,1572,1115,383,1243.66812227074
"Block Group 1, Census Tract 9504.02, Cerro Gordo County, Iowa","19033950402",771,424,1.32,45,12,23,450,192,279,209,178,584.090909090909
"Block Group 1, Census Tract 9501.02, Cerro Gordo County, Iowa","19033950102",860,405,1.96,0,0,107,165,334,550,371,107,438.775510204082
"Block Group 1, Census Tract 1904, Cass County, Iowa","19029190400",867,406,2.08,0,0,188,113,144,403,383,140,416.826923076923
"Block Group 1, Census Tract 9611, Wapello County, Iowa","19179961100",1324,716,2.23,7,0,261,257,364,605,697,140,593.72197309417
"Block Group 1, Census Tract 9501, Kossuth County, Iowa","19109950100",502,212,2.36,33,0,117,70,112,281,262,24,212.71186440678
"Block Group 2, Census Tract 6901, Worth County, Iowa","19195690100",876,403,2.12,22,8,152,272,140,400,413,155,413.207547169811
"Block Group 1, Census Tract 102.09, Polk County, Iowa","19153010209",2107,1147,2.2,34,89,411,285,477,1305,624,149,957.727272727273
"Block Group 2, Census Tract 102.11, Polk County, Iowa","19153010211",836,394,2.22,0,0,157,136,420,473,543,63,376.576576576577
"Block Group 3, Census Tract 107.03, Polk County, Iowa","19153010703",1580,699,2.56,203,0,409,143,380,957,705,162,617.1875
"Block Group 1, Census Tract 701, Jones County, Iowa","19105070100",1312,551,2.62,0,72,258,260,328,796,792,97,500.763358778626
"Block Group 2, Census Tract 701, Jones County, Iowa","19105070100",1405,635,2.63,34,0,392,260,429,709,803,150,534.220532319392
"Block Group 3, Census Tract 703, Jones County, Iowa","19105070300",793,407,2.45,21,0,174,153,177,388,372,58,323.673469387755
"Block Group 1, Census Tract 704, Jones County, Iowa","19105070400",1394,819,1.78,2,0,182,488,365,685,637,142,783.14606741573
"Block Group 4, Census Tract 8, Clinton County, Iowa","19045000800",1140,489,1.88,0,0,225,176,377,651,622,73,606.382978723404
"Block Group 2, Census Tract 703, Audubon County, Iowa","19009070300",436,182,2.11,0,0,78,109,102,246,270,52,206.635071090047
"Block Group 3, Census Tract 7.02, Dubuque County, Iowa","19061000702",645,337,2.3,48,0,127,125,187,330,275,44,280.434782608696
"Block Group 2, Census Tract 104.09, Polk County, Iowa","19153010409",1198,591,2.1,51,36,188,331,550,663,688,129,570.47619047619
"Block Group 1, Census Tract 104.09, Polk County, Iowa","19153010409",2068,963,2.84,168,138,637,205,643,1095,1014,98,728.169014084507
"Block Group 2, Census Tract 40.04, Polk County, Iowa","19153004004",1990,944,2.33,75,298,424,335,729,1171,836,169,854.077253218884
"Block Group 1, Census Tract 803, Clay County, Iowa","19041080300",1687,885,2.36,0,0,533,415,381,644,763,235,714.830508474576
"Block Group 1, Census Tract 804, Clay County, Iowa","19041080400",800,348,2.52,7,1,230,119,210,425,360,77,317.460317460317
"Block Group 2, Census Tract 3, Dubuque County, Iowa","19061000300",1030,452,2.58,0,277,378,157,78,436,300,172,399.22480620155
"Block Group 6, Census Tract 3.02, Johnson County, Iowa","19103000302",1646,1077,2.22,128,518,396,131,631,992,371,118,741.441441441441
"Block Group 4, Census Tract 33, Woodbury County, Iowa","19193003300",1159,586,2.62,50,0,375,81,142,648,338,53,442.36641221374
"Block Group 2, Census Tract 1901, Union County, Iowa","19175190100",685,346,2.42,4,0,150,125,103,341,377,71,283.057851239669
"Block Group 1, Census Tract 1903, Union County, Iowa","19175190300",657,284,2.21,11,0,117,212,184,323,447,81,297.285067873303
"Block Group 1, Census Tract 701, Wayne County, Iowa","19185070100",804,375,2.14,0,0,158,202,132,304,395,109,375.700934579439
"Block Group 3, Census Tract 705, Jones County, Iowa","19105070500",1091,546,2.48,3,23,289,213,191,467,520,67,439.91935483871
"Block Group 1, Census Tract 706, Jones County, Iowa","19105070600",1857,935,2.65,56,3,613,278,579,955,795,143,700.754716981132
"Block Group 2, Census Tract 706, Jones County, Iowa","19105070600",901,442,2.62,0,0,225,122,161,550,444,111,343.893129770992
"Block Group 3, Census Tract 7803, Pocahontas County, Iowa","19151780300",554,281,2.15,21,5,136,94,108,256,195,47,257.674418604651
"Block Group 3, Census Tract 9701, Plymouth County, Iowa","19149970100",581,257,2.11,0,0,119,147,127,337,208,37,275.355450236967
"Block Group 3, Census Tract 9705, Plymouth County, Iowa","19149970500",814,342,2.67,176,0,236,172,204,423,558,48,304.868913857678
"Block Group 2, Census Tract 9501, Buchanan County, Iowa","19019950100",473,253,2.58,1,0,171,100,83,193,148,58,183.333333333333
"Block Group 2, Census Tract 9504, Buchanan County, Iowa","19019950400",1321,750,2.1,144,0,201,236,309,748,358,139,629.047619047619
"Block Group 1, Census Tract 116, Polk County, Iowa","19153011600",0,0,NA,0,0,0,0,0,0,0,0,NA
"Block Group 2, Census Tract 508.05, Dallas County, Iowa","19049050805",1378,715,3.18,21,4,441,105,642,812,745,41,433.333333333333
"Block Group 3, Census Tract 508.07, Dallas County, Iowa","19049050807",3823,1976,2.21,309,175,1022,630,1577,2221,1605,277,1729.86425339367
"Block Group 1, Census Tract 508.09, Dallas County, Iowa","19049050809",5535,2921,3.06,271,19,2085,430,2405,2934,2408,155,1808.82352941176
"Block Group 3, Census Tract 1902, Union County, Iowa","19175190200",589,297,2,0,0,114,177,156,324,333,83,294.5
