"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"1",1,20180902374300,0,1,0,0,0,0,0,1,2,0,0
"2",2,20180902376700,0,2,2,0,2,2,0,2,1,0,0
"3",3,20180902377600,NA,1,1,0,0,0,0,0,1,0,1
"4",4,20180902377900,1,1,1,0,0,0,0,0,1,0,0
"5",5,20180902378100,0,2,2,0,0,0,0,1,1,0,1
"6",6,20180902378900,7,2,1,0,1,0,0,0,0,0,1
"7",7,20180902384600,0,4,1,2,0,0,0,2,2,2,0
"8",8,20180902388500,NA,2,0,1,0,0,0,1,1,0,0
"9",9,20180902388600,1,2,1,0,0,0,0,0,2,2,1
"10",10,20180902389200,0,1,1,0,1,0,0,0,0,1,0
"11",11,20180902390400,0,3,3,1,0,0,0,1,3,0,0
"12",12,20180902390500,NA,1,1,0,1,0,0,0,1,0,0
"13",13,20180902391200,3,3,2,0,0,0,0,3,3,0,0
"14",14,20180902393500,NA,2,1,0,0,0,0,0,2,2,0
"15",15,20180902393600,0,1,0,0,1,1,0,0,0,0,1
"16",16,20180902394000,1,5,2,3,0,0,5,1,1,2,0
"17",17,20180902394500,0,2,1,0,2,0,0,0,0,2,1
"18",18,20180902394600,0,2,1,0,0,0,0,2,2,2,0
"19",19,20180902396300,0,2,1,0,2,0,0,0,0,2,0
"20",20,20180902396400,NA,3,2,0,0,0,0,1,2,2,0
"21",21,20180902398100,0,3,1,0,0,0,0,0,3,2,0
"22",22,20180902398300,NA,1,0,0,0,0,0,0,1,0,0
"23",23,20180902400900,0,2,1,0,2,0,0,0,2,2,0
"24",24,20180902401600,NA,2,1,0,2,0,0,2,0,2,1
"25",25,20180902401700,0,1,0,0,0,0,0,0,1,0,0
"26",26,20180902403800,0,1,1,0,1,0,0,0,1,0,1
"27",27,20180902405800,NA,1,1,0,0,0,0,1,1,0,0
"28",28,20180902407100,NA,1,1,0,0,0,0,0,1,0,0
"29",29,20180902407500,0,7,2,5,0,0,0,0,1,2,0
"30",30,20180902407900,0,4,3,2,0,0,0,2,2,2,0
"31",31,20180902408500,NA,2,1,0,0,0,2,1,2,2,0
"32",32,20180902409800,0,2,0,0,0,0,2,0,0,0,0
"33",33,20180902410300,0,5,2,2,0,0,0,0,2,2,0
"34",34,20180902411700,0,4,1,2,0,0,0,2,2,2,0
"35",35,20180902412500,0,1,1,0,1,0,0,0,0,1,1
"36",36,20180902413700,0,3,1,0,0,0,0,1,3,2,1
"37",37,20180902414700,2,2,2,0,1,0,0,0,1,0,1
"38",38,20180902415500,NA,2,1,1,0,0,0,1,1,0,0
"39",39,20180902418600,0,4,2,2,0,0,0,2,2,2,0
"40",40,20180902420200,NA,3,1,0,0,0,0,2,2,2,0
"41",41,20180902420400,NA,1,0,0,1,0,0,0,0,0,1
"42",42,20180902421700,0,2,1,0,2,0,1,0,1,2,1
"43",43,20180902424100,0,2,1,0,2,0,0,1,0,2,0
"44",44,20180902425100,NA,2,1,0,0,0,0,0,2,0,0
"45",45,20180902427100,NA,4,1,1,0,0,0,0,3,2,0
"46",46,20180902427300,NA,4,2,1,0,0,0,0,4,2,0
"47",47,20180902427400,NA,1,1,0,1,0,0,0,0,0,1
"48",48,20180902429500,NA,2,1,0,0,0,2,0,1,2,0
"49",49,20180902429900,0,1,1,0,1,0,0,1,1,0,0
"50",50,20180902430400,0,1,1,0,1,0,0,1,2,0,0
"51",51,20180902431200,NA,3.4,4,2,0,0,0,2,2,0,0
"52",52,20180902431900,NA,3,2,0,0,0,0,2,2,2,0
"53",53,20180902432400,0,1,1,0,1,1,0,1,0,0,0
"54",54,20180902432600,0,2,1,0,0,0,2,0,1,0,0
"55",55,20180902432900,0,4,1,2,0,0,4,2,2,2,0
"56",56,20180902433100,NA,2,0,0,0,0,0,1,2,0,0
"57",57,20180902433600,0,3,1,1,0,0,0,2,2,2,0
"58",58,20180902434600,NA,2,0,0,0,0,0,0,2,0,0
"59",59,20180902435100,NA,10,7,0,2,0,0,5,4,4,0
"60",60,20180902435300,NA,2,1,0,2,0,0,2,0,2,0
"61",61,20180902437200,NA,2,1,0,0,0,0,0,2,2,0
"62",62,20180902438400,0,2,1,0,1,0,0,0,2,0,0
"63",63,20180902442500,2,2,2,0,1,0,0,0,1,0,0
"64",64,20180902444600,0,1,0,0,1,1,0,0,0,0,0
"65",65,20181002372800,0,2,1,0,0,0,0,1,2,2,0
"66",66,20181002373500,NA,1,1,0,0,0,0,1,1,0,0
"67",67,20181002374100,9,1,1,0,0,0,0,0,0,0,1
"68",68,20181002374800,0,4,1,2,0,0,0,2,2,2,0
"69",69,20181002375400,NA,2,1,0,0,0,0,2,2,2,0
"70",70,20181002375600,NA,3,2,0,0,0,0,1,3,0,0
"71",71,20181002379000,NA,3.4,3,3,0,0,5,0,1,2,0
"72",72,20181002380000,0,1,0,0,0,0,0,1,1,0,0
"73",73,20181002380100,0,2,1,0,2,0,0,1,0,2,0
"74",74,20181002381500,NA,1,1,0,0,0,0,0,1,0,0
"75",75,20181002382800,0,5,2,3,0,0,0,1,2,2,0
"76",76,20181002386200,0,3,2,2,0,0,0,0,2,0,0
"77",77,20181002387100,NA,2,1,0,0,0,0,2,1,2,1
"78",78,20181002387400,0,2,1,0,0,0,0,2,2,2,0
"79",79,20181002389000,0,1,0,0,1,0,0,0,0,0,0
"80",80,20181002389300,NA,4,3,2,0,0,0,0,1,2,0
"81",81,20181002391200,0,1,0,0,0,0,0,0,1,0,1
"82",82,20181002392000,NA,4,2,2,0,0,4,0,1,2,0
"83",83,20181002392700,0,1,1,0,0,0,0,0,0,0,1
"84",84,20181002393400,0,1,1,0,1,0,0,1,0,0,0
"85",85,20181002393800,0,5,2,3,0,0,0,0,1,2,0
"86",86,20181002397000,0,3,1,1,0,0,0,2,2,2,0
"87",87,20181002397700,0,1,0,0,1,0,0,0,0,0,0
"88",88,20181002399500,0,1,1,0,1,0,0,1,0,0,1
"89",89,20181002399800,0,3,1,0,2,0,0,0,1,2,0
"90",90,20181002400100,0,1,0,0,1,0,0,1,0,0,1
"91",91,20181002400600,0,5,3,2,0,0,0,1,3,2,0
"92",92,20181002401900,1,1,1,0,1,0,0,0,0,0,1
"93",93,20181002402300,NA,2,1,0,2,0,0,1,2,0,0
"94",94,20181002405000,0,2,1,0,0,0,0,2,2,2,1
"95",95,20181002407800,0,1,1,0,1,0,0,0,0,0,0
"96",96,20181002407900,0,1,1,0,1,0,0,0,0,0,0
"97",97,20181002408900,0,2,1,0,0,0,0,1,1,2,0
"98",98,20181002409100,0,1,0,0,0,0,0,1,1,0,0
"99",99,20181002409200,3,3,1,1,0,0,3,0,0,2,0
"100",100,20181002409300,0,2,1,0,1,0,0,1,2,2,0
"101",101,20181002410600,0,7,5,1,0,0,0,1,4,2,0
"102",102,20181002410800,0,1,0,0,0,0,0,0,1,0,0
"103",103,20181002411000,NA,1,1,0,1,0,0,0,0,0,0
"104",104,20181002414800,0,2,1,0,0,0,0,0,2,2,0
"105",105,20181002415000,0,1,1,0,0,0,0,0,1,0,0
"106",106,20181002419400,0,2,1,0,0,0,0,2,2,2,0
"107",107,20181002419500,0,1,1,0,1,0,0,0,0,0,0
"108",108,20181002420100,0,2,1,0,0,0,0,2,2,2,0
"109",109,20181002421900,0,1,0,0,0,0,0,2,2,0,0
"110",110,20181002422900,0,1,0,0,0,0,0,1,1,0,0
